DateKey,FullDate,Day,Month,Year,DayName,MonthName,Quarter,Half,YearMonth,IsWeekend
315,2023-11-11,11,11,2023,Saturday,Nov,Q4,H2,11/2023,1
316,2023-11-12,12,11,2023,Sunday,Nov,Q4,H2,11/2023,1
317,2023-11-13,13,11,2023,Monday,Nov,Q4,H2,11/2023,0
318,2023-11-14,14,11,2023,Tuesday,Nov,Q4,H2,11/2023,0
319,2023-11-15,15,11,2023,Wednesday,Nov,Q4,H2,11/2023,0
320,2023-11-16,16,11,2023,Thursday,Nov,Q4,H2,11/2023,0
321,2023-11-17,17,11,2023,Friday,Nov,Q4,H2,11/2023,0
322,2023-11-18,18,11,2023,Saturday,Nov,Q4,H2,11/2023,1
323,2023-11-19,19,11,2023,Sunday,Nov,Q4,H2,11/2023,1
324,2023-11-20,20,11,2023,Monday,Nov,Q4,H2,11/2023,0
325,2023-11-21,21,11,2023,Tuesday,Nov,Q4,H2,11/2023,0
326,2023-11-22,22,11,2023,Wednesday,Nov,Q4,H2,11/2023,0
327,2023-11-23,23,11,2023,Thursday,Nov,Q4,H2,11/2023,0
328,2023-11-24,24,11,2023,Friday,Nov,Q4,H2,11/2023,0
329,2023-11-25,25,11,2023,Saturday,Nov,Q4,H2,11/2023,1
330,2023-11-26,26,11,2023,Sunday,Nov,Q4,H2,11/2023,1
331,2023-11-27,27,11,2023,Monday,Nov,Q4,H2,11/2023,0
332,2023-11-28,28,11,2023,Tuesday,Nov,Q4,H2,11/2023,0
333,2023-11-29,29,11,2023,Wednesday,Nov,Q4,H2,11/2023,0
334,2023-11-30,30,11,2023,Thursday,Nov,Q4,H2,11/2023,0
335,2023-12-01,1,12,2023,Friday,Dec,Q4,H2,12/2023,0
336,2023-12-02,2,12,2023,Saturday,Dec,Q4,H2,12/2023,1
337,2023-12-03,3,12,2023,Sunday,Dec,Q4,H2,12/2023,1
338,2023-12-04,4,12,2023,Monday,Dec,Q4,H2,12/2023,0
339,2023-12-05,5,12,2023,Tuesday,Dec,Q4,H2,12/2023,0
340,2023-12-06,6,12,2023,Wednesday,Dec,Q4,H2,12/2023,0
341,2023-12-07,7,12,2023,Thursday,Dec,Q4,H2,12/2023,0
342,2023-12-08,8,12,2023,Friday,Dec,Q4,H2,12/2023,0
343,2023-12-09,9,12,2023,Saturday,Dec,Q4,H2,12/2023,1
344,2023-12-10,10,12,2023,Sunday,Dec,Q4,H2,12/2023,1
345,2023-12-11,11,12,2023,Monday,Dec,Q4,H2,12/2023,0
346,2023-12-12,12,12,2023,Tuesday,Dec,Q4,H2,12/2023,0
347,2023-12-13,13,12,2023,Wednesday,Dec,Q4,H2,12/2023,0
348,2023-12-14,14,12,2023,Thursday,Dec,Q4,H2,12/2023,0
349,2023-12-15,15,12,2023,Friday,Dec,Q4,H2,12/2023,0
350,2023-12-16,16,12,2023,Saturday,Dec,Q4,H2,12/2023,1
351,2023-12-17,17,12,2023,Sunday,Dec,Q4,H2,12/2023,1
352,2023-12-18,18,12,2023,Monday,Dec,Q4,H2,12/2023,0
353,2023-12-19,19,12,2023,Tuesday,Dec,Q4,H2,12/2023,0
